#,"Score, 🔽",Object,Type,Field,Package,Full API Name,Using,Referenced in,Ref. in Layout?,Ref. in Apex Class?,Ref. in Flow?,Referenced in Inactive Flow?,Dependencies,Created date,Modified date,Description
,,,,,,,,,,,,,,,,
325,1,"Tenancy,Contract",Standard,Managing_Agent_Street,,Managing_Agent_Street,4,1,1 Layout,,,,Dependencies,2020-07-20T15:43:32.000+0000,2020-07-20T15:44:05.000+0000,You should set a description!
326,1,"Tenancy,Contract",Standard,Move_In_Date,,Move_In_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:32.000+0000,2020-07-20T15:43:32.000+0000,REMOVED FROM PAGE LAYOUT on 31/03/2020 Tenancy Sta...
327,1,"Tenancy,Contract",Standard,Move_Out_Date,,Move_Out_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:33.000+0000,2020-07-20T15:43:33.000+0000,REMOVED FROM PAGE LAYOUT on 31/03/2020 Tenancy Sta...
328,1,"Tenancy,Contract",Standard,Number_of_AST_Documents,,Number_of_AST_Documents,2,4,,,,,Dependencies,2020-07-20T15:43:33.000+0000,2020-07-20T15:44:05.000+0000,You should set a description!
329,1,"Tenancy,Contract",Standard,Opportunity,,Opportunity,,43,2 Layouts,2 Apex Classes,25 Flows,25 Flows,Dependencies,2020-07-20T15:43:33.000+0000,2020-07-20T15:43:33.000+0000,CI-4861
330,1,"Tenancy,Contract",Standard,Post_Code,,Post_Code,3,1,1 Layout,,,,Dependencies,2020-07-20T15:43:33.000+0000,2020-07-20T15:44:05.000+0000,You should set a description!
331,1,"Tenancy,Contract",Standard,Security_Deposit,,Security_Deposit,3,1,1 Layout,,,,Dependencies,2020-07-20T15:43:33.000+0000,2021-03-16T16:47:04.000+0000,You should set a description!
332,1,"Tenancy,Contract",Standard,Special_Clauses,,Special_Clauses,,18,1 Layout,,16 Flows,16 Flows,Dependencies,2020-07-20T15:43:33.000+0000,2024-02-22T10:20:46.000+0000,---Hassan Chowdhury | 30/01/23 | MS-Case: 5310 ---...
333,1,"Tenancy,Contract",Standard,Street_Name,,Street_Name,3,1,1 Layout,,,,Dependencies,2020-07-20T15:43:33.000+0000,2020-07-20T15:44:05.000+0000,You should set a description!
334,1,"Tenancy,Contract",Standard,Tenancy_Progressor,,Tenancy_Progressor,3,1,,,,,Dependencies,2020-07-20T15:43:33.000+0000,2020-07-20T15:44:05.000+0000,You should set a description!
335,1,"Tenancy,Contract",Standard,Tenancy_Status,,Tenancy_Status,,21,1 Layout,,20 Flows,20 Flows,Dependencies,2020-07-20T15:43:33.000+0000,2020-07-20T15:43:33.000+0000,"Field to replace standard field, which has limitin..."
336,1,"Tenancy,Contract",Standard,Tenancy_Type,,Tenancy_Type,,33,1 Layout,,30 Flows,30 Flows,Dependencies,2020-07-20T15:43:33.000+0000,2024-05-02T12:36:48.000+0000,CI-5465 CI-5698
337,1,"Tenancy,Contract",Standard,Unit,,Unit,,81,5 Layouts,2 Apex Classes,37 Flows,37 Flows,Dependencies,2020-07-20T15:43:34.000+0000,2020-07-20T15:43:34.000+0000,CI-4861
338,1,"Tenancy,Contract",Standard,Uplift,,Uplift,5,4,1 Layout,2 Apex Classes,1 Flow,1 Flow,Dependencies,2020-07-20T15:43:34.000+0000,2020-10-05T15:13:54.000+0000,CI-6464
339,1,"Error Log,Error_Log__c",Custom Object,Endpoint,,Endpoint,,5,1 Layout,4 Apex Classes,,,Dependencies,2020-07-20T15:43:34.000+0000,2020-07-20T15:43:34.000+0000,You should set a description!
340,1,"Error Log,Error_Log__c",Custom Object,Exception,,Exception,,7,1 Layout,6 Apex Classes,,,Dependencies,2020-07-20T15:43:34.000+0000,2020-07-20T15:43:34.000+0000,You should set a description!
341,1,"Error Log,Error_Log__c",Custom Object,Method,,Method,,5,1 Layout,4 Apex Classes,,,Dependencies,2020-07-20T15:43:34.000+0000,2020-07-20T15:43:34.000+0000,You should set a description!
342,1,"Error Log,Error_Log__c",Custom Object,Response_Body,,Response_Body,,3,1 Layout,2 Apex Classes,,,Dependencies,2020-07-20T15:43:34.000+0000,2020-07-20T15:43:34.000+0000,You should set a description!
343,1,"Error Log,Error_Log__c",Custom Object,Type,,Type,,7,1 Layout,6 Apex Classes,,,Dependencies,2020-07-20T15:43:34.000+0000,2021-07-19T18:04:05.000+0000,You should set a description!
344,1,"Block,Estate__c",Custom Object,Directions,,Directions,,4,1 Layout,,3 Flows,3 Flows,Dependencies,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,CI-5297 CI-5785 Capture Estate Directions. Refer...
345,1,"Block,Estate__c",Custom Object,Finishing_Time,,Finishing_Time,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,You should set a description!
346,1,"Block,Estate__c",Custom Object,Start_Time,,Start_Time,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,You should set a description!
347,1,Lead,Standard,Accessibility_needs_description,,Accessibility_needs_description,,2,2 Layouts,,,,Dependencies,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,You should set a description!
348,1,Lead,Standard,Any_Other_Important_Factors,,Any_Other_Important_Factors,,Not used!,,,,,No dependency,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,CI-4982
349,1,Lead,Standard,Benefits,,Benefits,,Not used!,,,,,No dependency,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,CI-4982 Mapped to Account
350,1,Lead,Standard,Bonus,,Bonus,,Not used!,,,,,No dependency,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,CI-4982
351,1,Lead,Standard,Current_Living_Situation,,Current_Living_Situation,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,You should set a description!
352,1,Lead,Standard,Electric_Car,,Electric_Car,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:35.000+0000,2020-07-20T15:43:35.000+0000,You should set a description!
353,1,Lead,Standard,Employment_Type,,Employment_Type,,2,2 Layouts,,,,Dependencies,2020-07-20T15:43:35.000+0000,2023-04-29T22:43:33.000+0000,You should set a description!
354,1,Lead,Standard,Floor_Level,,Floor_Level,,2,2 Layouts,,,,Dependencies,2020-07-20T15:43:35.000+0000,2023-04-29T22:43:33.000+0000,You should set a description!
355,1,Lead,Standard,Length_of_Tenancy,,Length_of_Tenancy,,Not used!,,,,,No dependency,2020-07-20T15:43:35.000+0000,2024-04-26T11:59:34.000+0000,CI-5919 Values updated to: - Short Term - Standar...
356,1,Lead,Standard,Parking,,Parking,,2,2 Layouts,,,,Dependencies,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,You should set a description!
357,1,Lead,Standard,Pets,,Pets,,2,2 Layouts,,,,Dependencies,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,You should set a description!
358,1,Lead,Standard,Previous_Current_Grainger_Tenant,,Previous_Current_Grainger_Tenant,,Not used!,,,,,No dependency,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,CI-5919 Relabelled from 'Previous Grainger Tenant?...
359,1,Lead,Standard,Salary,,Salary,,Not used!,,,,,No dependency,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,CI-4982
360,1,Lead,Standard,Unit_of_Interest,,Unit_of_Interest,,5,2 Layouts,1 Apex Class,1 Flow,,Dependencies,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,You should set a description!
361,1,Lead,Standard,Visa_Situation,,Visa_Situation,,2,2 Layouts,,,,Dependencies,2020-07-20T15:43:36.000+0000,2023-04-29T23:41:37.000+0000,You should set a description!
362,1,Lead,Standard,What_1,,What_1,,Not used!,,,,,No dependency,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,CI-4982
363,1,Lead,Standard,What_2,,What_2,,Not used!,,,,,No dependency,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,CI-4982
364,1,Lead,Standard,What_3,,What_3,,Not used!,,,,,No dependency,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,CI-4982
365,1,Lead,Standard,Why_1,,Why_1,,Not used!,,,,,No dependency,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,CI-4982
366,1,Lead,Standard,Why_2,,Why_2,,Not used!,,,,,No dependency,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,CI-4982
367,1,Lead,Standard,Why_3,,Why_3,,Not used!,,,,,No dependency,2020-07-20T15:43:36.000+0000,2020-07-20T15:43:36.000+0000,CI-4982
368,1,Opportunity,Standard,Abandoned_Basket_Date_Time,,Abandoned_Basket_Date_Time,,12,1 Layout,2 Apex Classes,9 Flows,9 Flows,Dependencies,2020-07-20T15:43:39.000+0000,2020-07-20T15:43:39.000+0000,CI-5962 Date/time field which the apex trigger wo...
369,1,Opportunity,Standard,Add_Special_Clauses_Date,,Add_Special_Clauses_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:39.000+0000,2020-07-20T15:43:39.000+0000,CI-7020 TPT Checklist Referred to in Automation ...
370,1,Opportunity,Standard,Add_Special_Clauses,,Add_Special_Clauses,,Not used!,,,,,No dependency,2020-07-20T15:43:39.000+0000,2020-07-20T15:43:39.000+0000,CI-7020 TPT Checklist Referred to in Automation ...
371,1,Opportunity,Standard,Advance_Paid_Date,,Advance_Paid_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:39.000+0000,2020-07-20T15:43:39.000+0000,CI-7004 TPT Checklist Referred to in Automation ...
372,1,Opportunity,Standard,Advance_Payment_Date_Time,,Advance_Payment_Date_Time,,11,1 Layout,,9 Flows,9 Flows,Dependencies,2020-07-20T15:43:39.000+0000,2020-07-20T15:43:39.000+0000,CI-5720 Stamped by Payment Process builder as NOW(...
373,1,Opportunity,Standard,Advance_Payment_Exempt,,Advance_Payment_Exempt,,32,1 Layout,1 Apex Class,26 Flows,26 Flows,Dependencies,2020-07-20T15:43:39.000+0000,2020-07-20T15:43:39.000+0000,CI-5705
374,1,Opportunity,Standard,Advance_Payment_Made,,Advance_Payment_Made,,45,1 Layout,6 Apex Classes,34 Flows,34 Flows,Dependencies,2020-07-20T15:43:39.000+0000,2020-07-20T15:43:39.000+0000,CI-3908/ CI-5705
375,1,Opportunity,Standard,Agent_Fee,,Agent_Fee,4,8,2 Layouts,,6 Flows,6 Flows,Dependencies,2020-07-20T15:43:40.000+0000,2020-07-20T15:44:07.000+0000,CI-6275 Refers to Primary Offer's Agent Fee For c...
376,1,Opportunity,Standard,Agreed_Terms,,Agreed_Terms,4,51,2 Layouts,4 Apex Classes,28 Flows,28 Flows,Dependencies,2020-07-20T15:43:40.000+0000,2020-07-20T15:44:07.000+0000,CI-3135 Terms from the Primary Offer
377,1,Opportunity,Standard,Agreed_Unit,,Agreed_Unit,4,22,2 Layouts,,18 Flows,18 Flows,Dependencies,2020-07-20T15:43:40.000+0000,2020-07-20T15:44:07.000+0000,CI-3135
378,1,Opportunity,Standard,Agreement_Type,,Agreement_Type,,82,2 Layouts,6 Apex Classes,62 Flows,62 Flows,Dependencies,2020-07-20T15:43:40.000+0000,2024-02-22T10:20:46.000+0000,CI-5465 CI-5696 CI-6862 Validation to complete th...
379,1,Opportunity,Standard,Agreements_Sent_for_Signing_Date,,Agreements_Sent_for_Signing_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7025 TPT Checklist Referred to in Automation ...
380,1,Opportunity,Standard,Agreements_Sent_for_Signing,,Agreements_Sent_for_Signing,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7025 TPT Checklist Referred to in Automation ...
381,1,Opportunity,Standard,Amendments_to_TermsHousehold_Date,,Amendments_to_TermsHousehold_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7017 TPT Checklist Referred to in Automation ...
382,1,Opportunity,Standard,Amendments_to_TermsHousehold,,Amendments_to_TermsHousehold,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7017 TPT Checklist Referred to in Automation ...
383,1,Opportunity,Standard,Application_Approval,,Application_Approval,,20,1 Layout,,17 Flows,17 Flows,Dependencies,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-5684 To be updated by the Tenancy Progression ...
384,1,Opportunity,Standard,Aspect,,Aspect,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,You should set a description!
385,1,Opportunity,Standard,Book_inventory_in_FSI_Date,,Book_inventory_in_FSI_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7012 TPT Checklist Referred to in Automation ...
386,1,Opportunity,Standard,Book_inventory_in_FSI,,Book_inventory_in_FSI,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7012 TPT Checklist Referred to in Automation ...
387,1,Opportunity,Standard,Closed_Lost_Date,,Closed_Lost_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7037 TPT Checklist Referred to in Automation ...
388,1,Opportunity,Standard,Closed_Lost,,Closed_Lost,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7037 TPT Checklist Referred to in Automation ...
389,1,Opportunity,Standard,Closed_Won_all_tasks_complete_Date,,Closed_Won_all_tasks_complete_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7036 TPT Checklist Referred to in Automation ...
390,1,Opportunity,Standard,Closed_Won_all_tasks_complete,,Closed_Won_all_tasks_complete,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7036 TPT Checklist Referred to in Automation ...
391,1,Opportunity,Standard,Contacts_Have_Correct_Roles_Date,,Contacts_Have_Correct_Roles_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7009 TPT Checklist Referred to in Automation ...
392,1,Opportunity,Standard,Contacts_Have_Correct_Roles,,Contacts_Have_Correct_Roles,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7009 TPT Checklist Referred to in Automation ...
393,1,Opportunity,Standard,Deadline_DD_Collection_Setup,,Deadline_DD_Collection_Setup,1,1,1 Layout,,,,Dependencies,2020-07-20T15:43:40.000+0000,2020-07-20T15:44:07.000+0000,You should set a description!
394,1,Opportunity,Standard,Deposit_Cert_Saved_to_Docushare_Date,,Deposit_Cert_Saved_to_Docushare_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7031 TPT Checklist Referred to in Automation ...
395,1,Opportunity,Standard,Deposit_Cert_Saved_to_Docushare,,Deposit_Cert_Saved_to_Docushare,,Not used!,,,,,No dependency,2020-07-20T15:43:40.000+0000,2020-07-20T15:43:40.000+0000,CI-7031 TPT Checklist Referred to in Automation ...
396,1,Opportunity,Standard,Document_Generation_Date,,Document_Generation_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7021 TPT Checklist Referred to in Automation ...
397,1,Opportunity,Standard,Document_Generation,,Document_Generation,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7021 TPT Checklist Referred to in Automation ...
398,1,Opportunity,Standard,Estate_Of_Interest,,Estate_Of_Interest,,3,2 Layouts,,,,Dependencies,2020-07-20T15:43:41.000+0000,2023-06-15T09:38:07.000+0000,You should set a description!
399,1,Opportunity,Standard,Exempt_from_Referencing,,Exempt_from_Referencing,,33,1 Layout,1 Apex Class,26 Flows,26 Flows,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,If an Opportunity is exempt from referencing. CI-...
400,1,Opportunity,Standard,First_DD_Collection,,First_DD_Collection,4,4,1 Layout,,,,Dependencies,2020-07-20T15:43:41.000+0000,2021-02-09T15:34:47.000+0000,You should set a description!
401,1,Opportunity,Standard,First_Full_Month_Rent_Start,,First_Full_Month_Rent_Start,4,12,1 Layout,2 Apex Classes,3 Flows,3 Flows,Dependencies,2020-07-20T15:43:41.000+0000,2021-04-22T07:09:48.000+0000,CI-6148 Initial Statement of Monies
402,1,Opportunity,Standard,First_Month_Rent_Hidden,,First_Month_Rent_Hidden,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-4614 Initial Statement of Monies Populated be W...
403,1,Opportunity,Standard,Floor_Level,,Floor_Level,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,You should set a description!
404,1,Opportunity,Standard,Future_Living_Arrangement,,Future_Living_Arrangement,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,You should set a description!
405,1,Opportunity,Standard,Generated_Documents,,Generated_Documents,,20,1 Layout,,18 Flows,18 Flows,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7150 Referred to in Renewals process. - Opps P...
406,1,Opportunity,Standard,Household_Income,,Household_Income,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,You should set a description!
407,1,Opportunity,Standard,Key_Location_for_Inventory_Date,,Key_Location_for_Inventory_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7013 TPT Checklist Referred to in Automation ...
408,1,Opportunity,Standard,Key_Location_for_Inventory,,Key_Location_for_Inventory,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7013 TPT Checklist Referred to in Automation ...
409,1,Opportunity,Standard,Key_Release_Email_Sent_Date,,Key_Release_Email_Sent_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7028 TPT Checklist Referred to in Automation ...
410,1,Opportunity,Standard,Key_Release_Email_Sent,,Key_Release_Email_Sent,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7028 TPT Checklist Referred to in Automation ...
411,1,Opportunity,Standard,Last_DD_Collection,,Last_DD_Collection,4,1,1 Layout,,,,Dependencies,2020-07-20T15:43:41.000+0000,2020-10-05T15:13:55.000+0000,You should set a description!
412,1,Opportunity,Standard,Lead_Tenant_Offer_Link,,Lead_Tenant_Offer_Link,,11,1 Layout,,7 Flows,7 Flows,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-3332 Populated via Process Builder (Opportunity...
413,1,Opportunity,Standard,Lead_Tenant,,Lead_Tenant,,46,1 Layout,,25 Flows,25 Flows,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-5037/ CI-5659 For recording the Lead Tenant de...
414,1,Opportunity,Standard,Let_Agreed_Email_Sent_Date,,Let_Agreed_Email_Sent_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7010 TPT Checklist Referred to in Automation ...
415,1,Opportunity,Standard,Let_Agreed_Email_Sent,,Let_Agreed_Email_Sent,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7010 TPT Checklist Referred to in Automation ...
416,1,Opportunity,Standard,Lettings_Coordinator_Email,,Lettings_Coordinator_Email,,12,1 Layout,,11 Flows,11 Flows,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-5720 Primary Offer's Unit's Role's Email
417,1,Opportunity,Standard,Lettings_Customer_Advisor_Email,,Lettings_Customer_Advisor_Email,,12,1 Layout,,11 Flows,11 Flows,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-5720 Primary Offer's Unit's Role's Email
418,1,Opportunity,Standard,Lettings_Manager_Email,,Lettings_Manager_Email,,12,1 Layout,,11 Flows,11 Flows,Dependencies,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-5720 Primary Offer's Unit's Role's Email
419,1,Opportunity,Standard,Max_Occupancy_Date,,Max_Occupancy_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7014 TPT Checklist Referred to in Automation ...
420,1,Opportunity,Standard,Max_Occupancy,,Max_Occupancy,,Not used!,,,,,No dependency,2020-07-20T15:43:41.000+0000,2020-07-20T15:43:41.000+0000,CI-7014 TPT Checklist Referred to in Automation ...
421,1,Opportunity,Standard,Move_in_Monies_Chases_Date,,Move_in_Monies_Chases_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-7022 TPT Checklist Referred to in Automation ...
422,1,Opportunity,Standard,Move_in_Monies_Chases,,Move_in_Monies_Chases,,Not used!,,,,,No dependency,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-7022 TPT Checklist Referred to in Automation ...
423,1,Opportunity,Standard,Move_in_Monies_Exempt,,Move_in_Monies_Exempt,,31,1 Layout,1 Apex Class,28 Flows,28 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-7072 Field to mark as TRUE by default when the...
424,1,Opportunity,Standard,Move_in_Monies_Paid_Date,,Move_in_Monies_Paid_Date,,12,1 Layout,,9 Flows,9 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-7070 Populated by Payment Process Builder Capt...
425,1,Opportunity,Standard,Move_in_Monies_Paid,,Move_in_Monies_Paid,,31,1 Layout,1 Apex Class,27 Flows,27 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-3135
426,1,Opportunity,Standard,Move_in_Monies_Received_Date,,Move_in_Monies_Received_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-7022 TPT Checklist Referred to in Automation ...
427,1,Opportunity,Standard,Move_in_Monies_Received,,Move_in_Monies_Received,,Not used!,,,,,No dependency,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-7023 TPT Checklist Referred to in Automation ...
428,1,Opportunity,Standard,Notice_Has_Been_Served,,Notice_Has_Been_Served,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,You should set a description!
429,1,Opportunity,Standard,Number_Of_Beds,,Number_Of_Beds,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,You should set a description!
430,1,Opportunity,Standard,Offer_Expires_at,,Offer_Expires_at,,13,1 Layout,2 Apex Classes,9 Flows,9 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-5144 CI-5701 When an offer has been marked as r...
431,1,Opportunity,Standard,Old_Payment_Periodicity,,Old_Payment_Periodicity,,12,1 Layout,,9 Flows,9 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-5914 CI-5716 Populated by Process Builder: Opp...
432,1,Opportunity,Standard,Old_Tenancy_Start_Date,,Old_Tenancy_Start_Date,,21,1 Layout,,18 Flows,18 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-5914 CI-5716 Populated by Process Builder: Opp...
433,1,Opportunity,Standard,Old_Tenancy_Terms,,Old_Tenancy_Terms,,8,1 Layout,,5 Flows,5 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-5914 CI-5716 Populated by Process Builder: Off...
434,1,Opportunity,Standard,Parking_Required_Date,,Parking_Required_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-7008 TPT Checklist Referred to in Automation ...
435,1,Opportunity,Standard,Parking_Required,,Parking_Required,,Not used!,,,,,No dependency,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-7008 TPT Checklist Referred to in Automation ...
436,1,Opportunity,Standard,Parking,,Parking,,1,1 Layout,,,,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,You should set a description!
437,1,Opportunity,Standard,Payment_Periodicity,,Payment_Periodicity,,65,2 Layouts,4 Apex Classes,18 Flows,18 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-5950 Populated by Webapp. Allows the customer t...
438,1,Opportunity,Standard,Primary_Offer_Live_Unit,,Primary_Offer_Live_Unit,,69,5 Layouts,4 Apex Classes,57 Flows,57 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-5720 Populated by Opps Process Builder To be r...
439,1,Opportunity,Standard,Primary_Offer_Terms,,Primary_Offer_Terms,,23,1 Layout,,21 Flows,21 Flows,Dependencies,2020-07-20T15:43:42.000+0000,2020-07-20T15:43:42.000+0000,CI-3135 CI-5313 CI-5310 For triggering the Tenanc...
440,1,Opportunity,Standard,Primary_Offer_Wish_List,,Primary_Offer_Wish_List,,37,1 Layout,,21 Flows,21 Flows,Dependencies,2020-07-20T15:43:43.000+0000,2020-07-20T15:43:43.000+0000,For email templates Populated via Offer PB and Op...
441,1,Opportunity,Standard,Primary_Offer,,Primary_Offer,,113,2 Layouts,20 Apex Classes,43 Flows,43 Flows,Dependencies,2020-07-20T15:43:43.000+0000,2020-07-20T15:44:09.000+0000,CI-4853 Lookup for identifying the Primary Quote ...
442,1,Opportunity,Standard,Property_Manager_Assistant_Email,,Property_Manager_Assistant_Email,,12,1 Layout,,11 Flows,11 Flows,Dependencies,2020-07-20T15:43:43.000+0000,2020-07-20T15:43:43.000+0000,CI-5720 Primary Offer's Unit's Role's Email
443,1,Opportunity,Standard,Property_Manager_Email,,Property_Manager_Email,,12,1 Layout,,11 Flows,11 Flows,Dependencies,2020-07-20T15:43:43.000+0000,2020-07-20T15:43:43.000+0000,CI-5720 Primary Offer's Unit's Role's Email
444,1,Opportunity,Standard,Quality_Audit_Tenancy_Agreement_Date,,Quality_Audit_Tenancy_Agreement_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:43.000+0000,2020-07-20T15:43:43.000+0000,CI-7024 TPT Checklist Referred to in Automation ...
445,1,Opportunity,Standard,Quality_Audit_Tenancy_Agreement,,Quality_Audit_Tenancy_Agreement,,Not used!,,,,,No dependency,2020-07-20T15:43:43.000+0000,2020-07-20T15:43:43.000+0000,CI-7024 TPT Checklist Referred to in Automation ...
446,1,Opportunity,Standard,R2R_Checks_Diaries_Completed_Date,,R2R_Checks_Diaries_Completed_Date,,Not used!,,,,,No dependency,2020-07-20T15:43:43.000+0000,2020-07-20T15:43:43.000+0000,CI-7007 TPT Checklist Referred to in Automation ...
447,1,Opportunity,Standard,R2R_Checks_Diaries_Completed,,R2R_Checks_Diaries_Completed,,Not used!,,,,,No dependency,2020-07-20T15:43:43.000+0000,2020-07-20T15:43:43.000+0000,CI-7007 TPT Checklist Referred to in Automation ...
