Reference,Unit__c,Description,StartDate,EndDate,Term_Years,Term_Months,Term_Days,Status,Tenure,Type
114606002,a1G4J0000025wILUAY,"20, Highland Road, Aldershot, Hampshire",1967-12-25,2966-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
114634001,a1G4J0000025vz7UAA,"44a, Shalbourne Road, Gosport, Hampshire",1979-06-24,2078-06-23,99,0,0,Tenanted,Grnd Rent,Flat PB
114635001,a1G4J0000025vpaUAA,"3, Summit Way, Midanbury, Hampshire",2016-10-07,2141-10-06,125,0,0,Tenanted,Grnd Rent,Flat PB
114635002,a1G4J0000025wIaUAI,"4, Summit Way, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114636001,a1G4J0000025wIVUAY,"6, Vale Drive, Midanbury, Hampshire",1990-09-29,2179-09-28,189,0,0,Tenanted,Grnd Rent,Flat PB
114636002,a1G4J0000025vmDUAQ,"8, Vale Drive, Midanbury, Hampshire",2016-07-08,2115-07-07,99,0,0,Tenanted,Grnd Rent,Flat PB
114637001,a1G4J0000025wJ4UAI,"18, Vale Drive, Midanbury, Hampshire",2013-05-24,2138-05-23,125,0,0,Tenanted,Grnd Rent,Flat PB
114637002,a1G4J0000025w3bUAA,"20, Vale Drive, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114638001,a1G4J0000025wIfUAI,"26, Vale Drive, Midanbury, Hampshire",1989-09-29,2178-09-28,189,0,0,Tenanted,Grnd Rent,Flat PB
114638002,a1G4J0000025vu1UAA,"28, Vale Drive, Midanbury, Hampshire",2000-09-29,2099-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114639001,a1G4J0000025w3iUAA,"29, Vale Drive, Southampton, Hampshire",1994-09-29,2183-09-28,189,0,0,Tenanted,Grnd Rent,Flat PB
114640001,a1G4J0000025wIzUAI,"37, Vale Drive, Midanbury, Hampshire",1988-09-29,2087-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114640002,a1G4J0000025wIuUAI,"39, Vale Drive, Midanbury, Hampshire",1992-09-29,2091-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114641001,a1G4J0000025wIpUAI,"41, Vale Drive, Midanbury, Hampshire",1988-09-29,2087-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114641002,a1G4J0000025wBCUAY,"43, Vale Drive, Midanbury, Hampshire",2006-12-25,2195-12-24,189,0,0,Tenanted,Nil GR,Flat PB
114642001,a1G4J0000025wJEUAY,"58, Vale Drive, Midanbury, Hampshire",1989-09-29,2088-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114642002,a1G4J0000025wJ9UAI,"60, Vale Drive, Midanbury, Hampshire",2006-12-25,2105-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114643001,a1G4J0000025wJTUAY,"61, Vale Drive, Midanbury, Hampshire",2000-09-28,2099-09-27,99,0,0,Tenanted,Grnd Rent,Flat PB
114643002,a1G4J0000025wJJUAY,"63, Vale Drive, Midanbury, Hampshire",1996-09-29,2095-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114644001,a1G4J0000025vtqUAA,"65, Vale Drive, Midanbury, Hampshire",1989-09-29,2088-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114644002,a1G4J0000025urcUAA,"67, Vale Drive, Midanbury, Hampshire",2006-12-25,2164-12-24,158,0,0,Tenanted,Grnd Rent,Flat PB
114645001,a1G4J0000025w0nUAA,"70, Vale Drive, Midanbury, Hampshire",2000-09-29,2099-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114645002,a1G4J0000025vdWUAQ,"72, Vale Drive, Midanbury, Hampshire",2000-09-29,2099-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114646001,a1G4J0000025wAtUAI,"1, Summit Way, Midanbury, Hampshire",2005-12-25,2104-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114646002,a1G4J0000025wHyUAI,"2, Summit Way, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114647001,a1G4J0000025wJiUAI,"7, Summit Way, Midanbury, Hampshire",2006-12-25,2164-12-24,158,0,0,Tenanted,Grnd Rent,Flat PB
114647002,a1G4J0000025wJdUAI,"8, Summit Way, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114648001,a1G4J0000025wIqUAI,"11, Vale Drive, Midanbury, Hampshire",1996-09-29,2095-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114648002,a1G4J0000025wI3UAI,"9, Vale Drive, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114649001,a1G4J00000262TVUAY,"14, Vale Drive, Midanbury, Hampshire",2000-09-29,2189-09-28,189,0,0,Tenanted,Nil GR,Flat PB
114649002,a1G4J0000025w0IUAQ,"16, Vale Drive, Midanbury, Hampshire",2006-12-25,2164-12-24,158,0,0,Tenanted,Grnd Rent,Flat PB
114650001,a1G4J0000025wJKUAY,"30, Vale Drive, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114650002,a1G4J0000025vgXUAQ,"32, Vale Drive, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114651001,a1G4J0000025w6iUAA,"31, Vale Drive, Midanbury, Hampshire",2007-12-25,2164-12-24,157,0,0,Tenanted,Grnd Rent,Flat PB
114652001,a1G4J0000025wJnUAI,"33, Vale Drive, Midanbury, Hampshire",2015-03-13,2114-03-12,99,0,0,Tenanted,Grnd Rent,Flat PB
114652002,a1G4J00000262TfUAI,"35, Vale Drive, Midanbury, Hampshire",1975-12-25,2164-12-24,189,0,0,Tenanted,Nil GR,Flat PB
114653001,a1G4J0000025wI2UAI,"34, Vale Drive, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114653002,a1G4J0000025wJxUAI,"36, Vale Drive, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114654001,a1G4J00000262TaUAI,"46, Vale Drive, Midanbury, Hampshire",1975-12-25,2164-12-24,189,0,0,Tenanted,Nil GR,Flat PB
114654002,a1G4J0000025wJsUAI,"48, Vale Drive, Midanbury, Hampshire",2000-09-29,2099-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114655001,a1G4J0000025wK7UAI,"49, Vale Drive, Midanbury, Hampshire",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114655002,a1G4J0000025w8JUAQ,"51, Vale Drive, Midanbury, Hampshire",1993-09-29,2092-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114656001,a1G4J0000025vn5UAA,"53, Vale Drive, Midanbury, Hampshire",2014-07-29,2134-07-28,120,0,0,Tenanted,Grnd Rent,Flat PB
114656002,a1G4J0000025wK2UAI,"55, Vale Drive, Midanbury, Hampshire",2014-11-14,2134-11-13,120,0,0,Tenanted,Grnd Rent,Flat PB
114662001,a1G4J0000025vecUAA,"44, Shalbourne Road, Gosport, Hampshire",2012-01-01,2110-12-31,99,0,0,Tenanted,Grnd Rent,Flat PB
114693001,a1G4J0000025wKHUAY,Garage Chesil Crt 83 Chelsea Manor St SW3 5QP,2017-11-23,2267-11-22,250,0,0,Tenanted,Grnd Rent,Commercial
114703001,a1G4J0000025wCdUAI,"114, Ashleigh Road, Mortlake, London",1985-09-29,2174-09-28,189,0,0,Tenanted,Grnd Rent,Flat PB
114703002,a1G4J0000025wKWUAY,"116, Ashleigh Road, Mortlake, London",1991-09-29,2180-09-28,189,0,0,Tenanted,Grnd Rent,Flat PB
114704001,a1G4J0000025uvTUAQ,"30, Beckenham Gardens, Edmonton, London",,,0,0,0,Tenanted,Assd.Per,Mid Terrace
114705001,a1G4J0000025wAuUAI,"77, Seaford Road, West Ealing, London",2005-09-29,2171-09-28,166,0,0,Tenanted,Grnd Rent,Flat PB
114705002,a1G4J0000025vlOUAQ,"77a, Seaford Road, West Ealing, London",2016-01-29,2141-01-28,125,0,0,Tenanted,Grnd Rent,Flat PB
114706001,a1G4J00000262O2UAI,"79, Seaford Road, Ealing, London",1999-03-25,2188-03-24,189,0,0,Tenanted,Nil GR,Flat PB
114706002,a1G4J0000025wK8UAI,"79a, Seaford Road, Ealing, London",1974-03-25,2163-03-24,189,0,0,Tenanted,Grnd Rent,Flat PB
114707001,a1G4J0000025vwiUAA,"81, Seaford Road, Ealing, London",2017-04-24,2142-04-23,125,0,0,Tenanted,Grnd Rent,Flat PB
114707002,a1G4J0000025wCeUAI,"81a, Seaford Road, Ealing, London",1976-12-25,2075-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114709001,a1G4J0000025w8KUAQ,"91, Seaford Road, Ealing, London",2001-09-29,2100-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114709002,a1G4J0000025w7KUAQ,"91a, Seaford Road, Ealing, London",2019-06-24,2169-06-23,150,0,0,Tenanted,Grnd Rent,Flat PB
114722001,a1G4J0000025wKgUAI,"21, Canada Road, Acton, London",2001-09-29,2100-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114722003,a1G4J0000025wHzUAI,"23, Canada Road, Acton, London",2001-09-29,2100-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114722004,a1G4J00000262TkUAI,"25, Canada Road, Acton, London",2001-09-29,2190-09-28,189,0,0,Tenanted,Nil GR,Flat PB
114722006,a1G4J00000262TpUAI,"27, Canada Road, Acton, London",2004-09-29,2219-09-28,215,0,0,Tenanted,Nil GR,Flat PB
114723001,a1G4J0000025wKIUAY,"22, Canada Road, Acton, London",2001-09-29,2100-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114723003,a1G4J0000025wKvUAI,"26, Canada Road, Acton, London",2001-09-29,2100-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114723004,a1G4J0000025w2CUAQ,"28, Canada Road, Acton, London",2002-09-29,2101-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114723005,a1G4J0000025ttaUAA,"24, Canada Road, Acton, London",2008-01-01,2106-12-31,99,0,0,Tenanted,Grnd Rent,Flat PB
114724001,a1G4J0000025w6CUAQ,"13 Cheniston Gardens,Flat 5,Kensington London",,,0,0,0,Tenanted,Regulated,Flat PB
114726001,a1G4J0000025wKlUAI,"142, Sutton Court, Chiswick, London",,,0,0,0,Tenanted,Regulated,Flat PB
114727001,a1G4J0000025wIWUAY,"31, Radipole Road, GF, Fulham, London",,,0,0,0,Tenanted,Regulated,Flat PB
114728001,a1G4J0000025wKqUAI,"86B, Warwick Way, Pimlico, London",,,0,0,0,Tenanted,Regulated,Flat PB
114730001,a1G4J0000025w4yUAA,"5, Watchfield Court, Chiswick, London",,,0,0,0,Tenanted,Regulated,Flat PB
114731001,a1G4J0000025w5EUAQ,"20, Lonsdale Road, Chiswick, London",,,0,0,0,Tenanted,Regulated,Flat PB
114733002,a1G4J0000025w7LUAQ,"7, Wellesley Mansions, West Kensington, Londo",,,0,0,0,Tenanted,Regulated,Flat PB
114735001,a1G4J0000025vp6UAA,"86-88, Balcombe Street, Flat 2, London",,,0,0,0,Tenanted,Regulated,Flat PB
114736001,a1G4J0000025wBdUAI,"31, Temple Road, GF, Acton, London",,,0,0,0,Tenanted,Regulated,Flat PB
114742004,a1G4J0000025wL5UAI,"19, Warrington Crescent, 3F, Maida Vale, Lond",,,0,0,0,Tenanted,Regulated,Flat PB
114743001,a1G4J0000025wCxUAI,"23, Castellain Road, GF, Maida Vale, London",,,0,0,0,Tenanted,Regulated,Flat PB
114746001,a1G4J0000025wLAUAY,"150, Western Avenue, Acton, London",1998-09-29,2097-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114747001,a1G4J0000025w3SUAQ,"154, Western Avenue, Acton, London",2021-06-10,2146-06-09,125,0,0,Tenanted,Grnd Rent,Flat PB
114747002,a1G4J0000025wLFUAY,"156, Western Avenue, Acton, London",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
114749001,a1G4J0000025wJoUAI,"88B, Sedlescombe Road, Fulham, London",,,0,0,0,Tenanted,Regulated,Maisonette
114749002,a1G4J0000025wLKUAY,"88A, Sedlescombe Road, Fulham, London",2008-09-29,2133-09-28,125,0,0,Tenanted,Grnd Rent,Maisonette
114751001,a1G4J0000025w3TUAQ,"118, Western Avenue, Acton, London",1967-12-25,2066-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114751002,a1G4J0000025vLmUAI,"120, Western Avenue, Acton, London",2015-07-17,2140-07-16,125,0,0,Tenanted,Grnd Rent,Flat PB
114752001,a1G4J0000025w7MUAQ,"124, Western Avenue, Acton, London",1997-12-25,2096-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114752002,a1G4J0000025wL0UAI,"122, Western Avenue, Acton, London",1967-12-25,2066-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114755001,a1G4J0000025vkuUAA,"134, Western Avenue - P'corn, Acton, London",1967-12-25,2966-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
114755002,a1G4J0000025vkvUAA,"136, Western Avenue, Acton, London",2004-12-25,2156-12-24,152,0,0,Tenanted,Grnd Rent,Flat PB
114756001,a1G4J0000025wKJUAY,"138, Western Avenue, P'corn, Acton, London",1958-06-23,2108-06-22,150,0,0,For Sale,Grnd Rent,Flat PB
114756002,a1G4J0000025wLPUAY,"140, Western Avenue, Acton, London",1998-12-25,2097-12-24,99,0,0,Solic.Instrct,Grnd Rent,Flat PB
114757001,a1G4J0000025wBhUAI,"152, Western Avenue - P'corn, Acton, London",1967-12-25,2966-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
114762001,a1G4J00000262TqUAI,"66, Galveston Road, Putney, London",2012-06-24,2132-06-23,120,0,0,Tenanted,Grnd Rent,Flat PB
114768001,a1G4J0000025vhYUAQ,"4, Buer Road, London",,,0,0,0,Tenanted,Regulated,Flat PB
114768002,a1G4J0000025wGkUAI,"4, Buer Road, Flat B, London",1994-03-25,2119-03-24,125,0,0,Tenanted,Grnd Rent,Flat PB
114769001,a1G4J0000025vlyUAA,"652, Fulham Road, 2F, London",,,0,0,0,Tenanted,Regulated,Flat PB
114770001,a1G4J0000025wM3UAI,"34, Howards Lane, Putney, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
114773001,a1G4J0000025wLUUAY,"65, Mirabel Road, Fulham, London",,,0,0,0,Tenanted,Assd.Per,Flat PB
114774001,a1G4J0000025wMhUAI,"67, Mirabel Road, Fulham, London",2023-11-15,2148-11-14,125,0,0,Solic.Instrct,Grnd Rent,Flat PB
114777001,a1G4J0000025wLtUAI,"53, Warrington Crescent, Garden F, Maida Vale",1985-12-25,2110-12-19,124,11,25,Tenanted,Grnd Rent,Flat PB
114777003,a1G4J0000025vi5UAA,"53, Warrington Crescent, FFF, Maida Vale",,,0,0,0,Tenanted,Regulated,Flat PB
114777004,a1G4J0000025wMDUAY,"53, Warrington Crescent, GF, Maida Vale, Lond",1985-12-25,2110-12-19,124,11,25,Tenanted,Grnd Rent,Flat PB
114777005,a1G4J0000025wM9UAI,"53, Warrington Crescent, SF, Maida Vale, Lond",1985-12-25,2110-12-24,125,0,0,Tenanted,Grnd Rent,Flat PB
114777006,a1G4J0000025wM8UAI,"53, Warrington Crescent, 3F, Maida Vale, Lond",1985-12-25,2110-12-19,124,11,25,Tenanted,Grnd Rent,Flat PB
114778001,a1G4J0000025wCQUAY,"4, Hazelwood Mansions, Rostrevor Road, London",,,0,0,0,Tenanted,Regulated,Flat PB
114779001,a1G4J0000025uc8UAA,"38, Racton Road, 1st/2nd F, Fulham, London",,,0,0,0,Tenanted,Regulated,Flat PB
114780001,a1G4J0000025wLoUAI,"22, Racton Road, GF, Fulham, London",2003-09-29,2128-09-28,125,0,0,Tenanted,Grnd Rent,Flat PB
114781001,a1G4J0000025w7eUAA,"22, Racton Road, FF, Fulham, London",,,0,0,0,Tenanted,Regulated,Maisonette
114782001,a1G4J0000025wLjUAI,"480, Neasden Lane, Neasdon, London",1955-03-25,2054-03-24,99,0,0,Tenanted,Grnd Rent,Flat PB
114787001,a1G4J0000025wLZUAY,"10, Woodstock Grove, West Kensington, London",,,0,0,0,Tenanted,Regulated,Maisonette
114787002,a1G4J0000025wLeUAI,"10A, Woodstock Grove, West Kensington, London",2002-09-29,2101-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114793001,a1G4J0000025wMNUAY,"41, Ellerslie Road, FF, London",,,0,0,0,Tenanted,Assd.Per,Flat PB
114804001,a1G4J0000025wMrUAI,"21, Victoria Road, Mortlake, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
114805001,a1G4J0000025wJfUAI,"13, Fishers Lane, Chiswick, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
114806001,a1G4J0000025v78UAA,"7, Spencer Gardens, East Sheen, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
114807001,a1G4J00000262U4UAI,"2, Haydon Close, Kingsbury, London",1995-09-29,2184-09-28,189,0,0,Tenanted,Nil GR,Flat PB
114807002,a1G4J0000025vVCUAY,"2a, Haydon Close, Kingsbury, London",2008-09-29,2133-09-28,125,0,0,Tenanted,Grnd Rent,Flat PB
114808001,a1G4J0000025wNBUAY,"3, Haydon Close, Kingsbury, London",1996-09-29,2185-09-28,189,0,0,Tenanted,Grnd Rent,Flat PB
114808002,a1G4J0000025wFOUAY,"3a, Haydon Close, Kingsbury, London",2017-02-17,2142-02-16,125,0,0,Tenanted,Grnd Rent,Flat PB
114809001,a1G4J0000025wMIUAY,"4, Haydon Close, Kingsbury, London",1992-09-29,2091-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114810001,a1G4J0000025wLBUAY,"5a, Haydon Close, Kingsbury, London",2009-09-29,2134-09-28,125,0,0,Tenanted,Grnd Rent,Flat PB
114812001,a1G4J0000025wMmUAI,"8a, Haydon Close, Kingsbury, London",1985-09-29,2174-09-28,189,0,0,Tenanted,Grnd Rent,Flat PB
114813001,a1G4J0000025wMwUAI,"12, Haydon Close, Kingsbury, London",2018-08-17,2168-08-16,150,0,0,Tenanted,Grnd Rent,Flat PB
114814001,a1G4J0000025wMcUAI,"13, Haydon Close, Kingsbury, London",1995-09-29,2094-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114814002,a1G4J00000262U9UAI,"13a, Haydon Close, Kingsbury, London",1984-09-29,2173-09-28,189,0,0,Tenanted,Nil GR,Flat PB
114815001,a1G4J0000025wLaUAI,"14, Haydon Close, Kingsbury, London",1985-09-29,2084-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114815002,a1G4J0000025vfcUAA,"14a, Haydon Close, Kingsbury, London",2004-09-29,2173-09-28,169,0,0,Tenanted,Grnd Rent,Flat PB
114816001,a1G4J0000025w4kUAA,"15, Haydon Close, Kingsbury, London",1985-09-29,2084-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
114816002,a1G4J0000025wN1UAI,"15a, Haydon Close, Kingsbury, London",2017-09-29,2142-09-28,125,0,0,Tenanted,Grnd Rent,Flat PB
114818001,a1G4J0000025wAfUAI,"18, Haydon Close, Kingsbury, London",2019-11-21,2169-11-20,150,0,0,Tenanted,Grnd Rent,Flat PB
114818002,a1G4J0000025wJPUAY,"18a, Haydon Close, Kingsbury, London",2021-02-18,2191-02-17,170,0,0,Tenanted,Grnd Rent,Flat PB
114821001,a1G4J0000025w9oUAA,"92, Chambers Lane, Willesden, London",2006-09-29,2131-09-28,125,0,0,Tenanted,Grnd Rent,Flat PB
114821002,a1G4J0000025wLkUAI,"93, Chambers Lane, Willesden, London",2002-09-24,2191-09-23,189,0,0,Tenanted,Nil GR,Flat PB
114822001,a1G4J0000025wKNUAY,"116, Chambers Lane, Willesden, London",1989-09-29,2988-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114823001,a1G4J0000025wG1UAI,"122, Chambers Lane, P'Corn, Willesden, London",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
114823002,a1G4J00000262UEUAY,"123, Chambers Lane, Willesden, London",1991-09-29,2180-09-28,189,0,0,Tenanted,Nil GR,Flat PB
114824001,a1G4J0000025wNGUAY,"55, Beechmount Avenue, P'Corn, Hanwell, Londo",1958-04-06,2948-04-05,990,0,0,Tenanted,Grnd Rent,Flat PB
114824002,a1G4J0000025vwXUAQ,"55a Beechmount Avenue, Hanwell, W7",1958-04-06,2948-04-15,990,0,10,Tenanted,Grnd Rent,Flat PB
114825001,a1G4J0000025w2lUAA,"32, Gifford Gardens, Hanwell, London",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
114826001,a1G4J0000025wNQUAY,"53, Mayfield Gardens, Hanwell, London",1954-09-29,2953-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114826002,a1G4J0000025vi6UAA,"53a, Mayfield Gardens, Hanwell, London",1954-09-29,2953-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114827001,a1G4J0000025wJjUAI,"111, Mayfield Gardens, Peppercorn, Hanwell, L",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
114831001,a1G4J0000025wN2UAI,"14, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114831002,a1G4J0000025wN6UAI,"16, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114832001,a1G4J0000025wLpUAI,"22, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114832002,a1G4J0000025wElUAI,"24, Fairlawn Avenue, Chiswick, London",1960-03-25,2933-03-24,973,0,0,Tenanted,Grnd Rent,Flat PB
114833001,a1G4J0000025w9BUAQ,"26, Fairlawn Avenue, Chiswick, London",2008-12-25,2133-12-24,125,0,0,Tenanted,Grnd Rent,Flat PB
114833002,a1G4J0000025wI0UAI,"28, Fairlawn Avenue, Chiswick, London",1963-12-25,2932-12-24,969,0,0,Tenanted,Grnd Rent,Flat PB
114834001,a1G4J0000025wMAUAY,"34, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114834002,a1G4J0000025wEPUAY,"36, Fairlawn Avenue, Chiswick, London",1960-03-25,2933-03-24,973,0,0,Tenanted,Grnd Rent,Flat PB
114835001,a1G4J0000025wM4UAI,"38, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114835002,a1G4J0000025wNVUAY,"40, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114836001,a1G4J0000025w6SUAQ,"42, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114836002,a1G4J0000025vnzUAA,"44, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114837001,a1G4J0000025wN3UAI,"17, Fairlawn Grove, Chiswick, London",1963-12-25,2932-12-24,969,0,0,Tenanted,Grnd Rent,Flat PB
114837002,a1G4J0000025wEkUAI,"19, Fairlawn Grove, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114838001,a1G4J0000025wNaUAI,"21, Fairlawn Grove, Chiswick, London",2003-09-29,3002-09-30,999,0,2,Tenanted,Grnd Rent,Flat PB
114838002,a1G4J0000025wNfUAI,"23, Fairlawn Grove, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114839001,a1G4J0000025vt4UAA,"25, Fairlawn Grove, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114839002,a1G4J0000025wNkUAI,"27, Fairlawn Grove, Chiswick, London",1963-12-25,2932-12-24,969,0,0,Tenanted,Grnd Rent,Flat PB
114841001,a1G4J0000025w88UAA,"33, Fairlawn Grove, Chiswick, London",1960-03-25,2933-03-24,973,0,0,Tenanted,Grnd Rent,Flat PB
114841002,a1G4J0000025w9CUAQ,"35, Fairlawn Grove, Chiswick, London",1960-03-25,2933-03-24,973,0,0,Tenanted,Grnd Rent,Flat PB
114842001,a1G4J0000025vjvUAA,"46, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114842002,a1G4J0000025wJgUAI,"48, Fairlawn Avenue, Chiswick, London",1960-03-25,2933-03-24,973,0,0,Tenanted,Grnd Rent,Flat PB
114843001,a1G4J0000025wNzUAI,"50, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114843002,a1G4J0000025wNpUAI,"52, Fairlawn Avenue, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114845001,a1G4J0000025w0OUAQ,"58, Fairlawn Avenue, Chiswick, London",1963-12-25,2932-12-24,969,0,0,Tenanted,Grnd Rent,Flat PB
114845002,a1G4J0000025vwYUAQ,"60, Fairlawn Avenue, Chiswick, London",1959-06-24,2933-06-23,974,0,0,Tenanted,Grnd Rent,Flat PB
114846001,a1G4J0000025wIRUAY,"62, Fairlawn Avenue, Chiswick, London",1960-03-25,2933-03-24,973,0,0,Tenanted,Grnd Rent,Flat PB
114846002,a1G4J0000025wO9UAI,"64, Fairlawn Avenue, Chiswick, London",1960-03-25,2933-03-24,973,0,0,Tenanted,Grnd Rent,Flat PB
114847001,a1G4J0000025vzUUAQ,"G12, Ravenscroft Road, P'corn, Chiswick, Lond",1934-09-29,2933-09-18,998,11,21,Tenanted,Licence,Garage
114847002,a1G4J0000025wNuUAI,"G14, Ravenscroft Road, P'corn, Chiswick, Lond",1934-09-29,2933-09-18,998,11,21,Tenanted,Licence,Garage
114847003,a1G4J0000025wO4UAI,"G13, Ravenscroft Road, P'corn, Chiswick, Lond",1934-09-29,2933-09-18,998,11,21,Tenanted,Licence,Garage
114848001,a1G4J0000025wOTUAY,"1, Ravenscroft Road, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114848002,a1G4J0000025wOYUAY,"3, Ravenscroft Road, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114849001,a1G4J0000025v0cUAA,"5, Ravenscroft Road, Chiswick, London",1963-12-25,2932-12-24,969,0,0,Tenanted,Grnd Rent,Flat PB
114849002,a1G4J0000025w4tUAA,"7, Ravenscroft Road, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114850001,a1G4J0000025wNgUAI,"13, Ravenscroft Road, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114850002,a1G4J0000025wOdUAI,"15, Ravenscroft Road, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114851001,a1G4J0000025wIhUAI,"17, Ravenscroft Road, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114851002,a1G4J0000025wI8UAI,"19, Ravenscroft Road, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
114852001,a1G4J0000025w9LUAQ,"21, Ravenscroft Road, Chiswick, London",1934-09-29,2933-09-28,999,0,0,Tenanted,Grnd Rent,Flat PB
