"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatch.cls","3","47","Missing ApexDoc comment","Documentation","ApexDoc"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatch.cls","3","47","The method parameter name 'SC' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FormalParameterNamingConventions"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatch.cls","3","51","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","14","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","55","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","71","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","90","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","105","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","115","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","124","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","152","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","177","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","210","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","219","Apex unit test classes should have at least one System.assert() or assertEquals() or AssertNotEquals() call","Best Practices","ApexUnitTestClassShouldHaveAsserts"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationBatchTest.cls","3","219","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationDateProcessor.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationDateProcessor.cls","3","2","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationDateProcessor.cls","3","17","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationDateProcessor.cls","3","21","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationDateProcessor.cls","3","41","Avoid empty if statements","Error Prone","EmptyIfStmt"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationDateProcessor.cls","3","41","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationDateProcessor.cls","3","62","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","2","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","20","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","21","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","23","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","25","Missing ApexDoc comment","Documentation","ApexDoc"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","27","Missing ApexDoc comment","Documentation","ApexDoc"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","43","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_AnonymizationService.cls","3","52","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","3","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","20","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","20","The method 'executeAnonymizeStep(List<SObject>, GDPR_AnonymizationConfiguration__mdt)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","47","Avoid empty if statements","Error Prone","EmptyIfStmt"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","47","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","69","Missing ApexDoc comment","Documentation","ApexDoc"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","132","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","138","The local variable name 'SALTCHARS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","147","The method 'removeHistory(GDPR_AnonymizationConfiguration__mdt, List<Schema.FieldSetMember>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","164","Apex classes should escape variables merged in DML query","Security","ApexSOQLInjection"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","175","Avoid empty if statements","Error Prone","EmptyIfStmt"
"13","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_BaseAnonymizator.cls","3","175","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_EmailUtils.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_EmailUtils.cls","3","2","Avoid long parameter lists","Design","ExcessiveParameterList"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_EmailUtils.cls","3","2","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_PersonAccountFieldHistoryRemover.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_PersonAccountFieldHistoryRemover.cls","3","3","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_PersonAccountFieldHistoryRemover.cls","3","23","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_PersonAccountFieldHistoryRemover.cls","3","35","Avoid empty if statements","Error Prone","EmptyIfStmt"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_PersonAccountFieldHistoryRemover.cls","3","35","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_PersonAccountFieldHistoryRemover.cls","3","56","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_SchemaUtils.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GDPR_SchemaUtils.cls","3","2","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","20","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","39","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","43","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","45","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","46","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","47","Missing ApexDoc comment","Documentation","ApexDoc"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","48","Missing ApexDoc comment","Documentation","ApexDoc"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","49","Missing ApexDoc comment","Documentation","ApexDoc"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","51","Avoid long parameter lists","Design","ExcessiveParameterList"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelper.cls","3","51","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelperTest.cls","3","22","Apex unit test classes should have at least one System.assert() or assertEquals() or AssertNotEquals() call","Best Practices","ApexUnitTestClassShouldHaveAsserts"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelperTest.cls","3","22","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelperTest.cls","3","41","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelperTest.cls","3","65","Apex unit test classes should have at least one System.assert() or assertEquals() or AssertNotEquals() call","Best Practices","ApexUnitTestClassShouldHaveAsserts"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelperTest.cls","3","65","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelperTest.cls","3","80","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteHttpHelperTest.cls","3","86","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","11","The class 'GraingerWebsiteListingController' has a Standard Cyclomatic Complexity of 4 (Highest = 10).","Design","StdCyclomaticComplexity"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","12","Class names should begin with an uppercase character","Code Style","ClassNamingConventions"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","12","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","18","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","29","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","40","Missing ApexDoc comment","Documentation","ApexDoc"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","60","Missing ApexDoc comment","Documentation","ApexDoc"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","69","The method 'getRecordDataWithSectionsAndLabels' has a Standard Cyclomatic Complexity of 10.","Design","StdCyclomaticComplexity"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","69","The method 'getRecordDataWithSectionsAndLabels(GraingerWebsiteListingsHelper.ListingWrapper)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingController.cls","3","103","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingControllerTest.cls","3","18","The local variable name 'MarketSetup' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingControllerTest.cls","3","19","The local variable name 'MediaLink' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingControllerTest.cls","3","20","The local variable name 'Listing' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingControllerTest.cls","3","21","The local variable name 'contentVersion_1' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingControllerTest.cls","3","31","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingControllerTest.cls","3","42","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","11","The class 'GraingerWebsiteListingProcessor' has a Standard Cyclomatic Complexity of 8 (Highest = 15).","Design","StdCyclomaticComplexity"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","12","The constant field name 'portalName' doesn't match '[A-Z][A-Z0-9_]*'","Code Style","FieldNamingConventions"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","24","Missing ApexDoc @description","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","24","Missing ApexDoc @return","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","24","Missing or mismatched ApexDoc @param","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","24","The method 'process' has a Standard Cyclomatic Complexity of 15.","Design","StdCyclomaticComplexity"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","24","The method 'process(List<GraingerWebsiteListingsHelper.ListingWrapper>, Boolean, Boolean)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","56","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","74","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","74","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","77","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","121","Avoid long parameter lists","Design","ExcessiveParameterList"
"13","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","154","Avoid long parameter lists","Design","ExcessiveParameterList"
"14","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","154","Missing ApexDoc @description","Documentation","ApexDoc"
"15","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","154","Missing or mismatched ApexDoc @param","Documentation","ApexDoc"
"16","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessor.cls","3","177","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessorTest.cls","3","24","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessorTest.cls","3","24","Missing ApexDoc @description","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessorTest.cls","3","42","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessorTest.cls","3","59","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingProcessorTest.cls","3","59","Missing ApexDoc @description","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","12","The class 'GraingerWebsiteListingRequest' has a Standard Cyclomatic Complexity of 6 (Highest = 14).","Design","StdCyclomaticComplexity"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","12","The class 'GraingerWebsiteListingRequest' has a total cyclomatic complexity of 64 (highest 20).","Design","CyclomaticComplexity"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","17","Class names should begin with an uppercase character","Code Style","ClassNamingConventions"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","26","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","34","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","38","Missing ApexDoc comment","Documentation","ApexDoc"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","50","Class names should begin with an uppercase character","Code Style","ClassNamingConventions"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","63","The instance field name 'agent_ref' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","65","The instance field name 'property_type' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","66","The instance field name 'date_available' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","67","The instance field name 'marketing_location' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","69","The instance field name 'price_information' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"13","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","72","The instance field name 'launch_date' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"14","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","77","The instance field name 'postcode_1' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"15","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","78","The instance field name 'postcode_2' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"16","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\GraingerWebsiteListingRequest.cls","3","79","The instance field name 'display_address' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
