Unit Reference,Salesforce Unit id,Unit  description,Event,Action Date,Event Date,Status,Attention Of,Unit Tenure,Unit Type,Unit Status,Include/Exclude,Multiple Rent Review Diaries,Comment
127820001,a1GNz000000hvO1MAI,"31 Hursley Road, Waterlooville, PO7 3EN",Rent Review,2025-12-22,2026-03-22,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
127229003,a1G4J0000025xGYUAY,"Flat 3 Watermark Hse, Ledger Close, Kent ME10",Rent Review,2025-12-23,2026-03-23,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127501001,a1G4J0000025xXDUAY,"12 Guthrie Way, Wellesley, Aldershot, GU11 4E",Rent Review,2025-12-23,2026-03-23,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127620001,a1G4J000004jugJUAQ,"5 Barrosa Rd, Wellesley, Hampshire, GU11 4DQ",Rent Review,2025-12-23,2026-04-23,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127666004,a1G8d0000004YnPEAU,"4, Crocker Hse, 10 Dempsey Rd, Aldershot",Rent Review,2025-12-23,2026-03-23,Pending,SO3,Sh Owner,Flat PB,Tenanted,Include,No,
113488001,a1G4J0000025w1oUAA,"19, Lurline Gardens, 7, Battersea, London",Rent Review,2025-12-24,2026-03-24,Pending,SR1,Assd.Per,Flat PB,Tenanted,Include,No,
127647001,a1G4J000004PvPKUA0,"26 Barfoot Close, Waterlooville, PO7 3DS",Rent Review,2025-12-24,2026-03-24,Pending,DGX,Sh Owner,S/D House,Tenanted,Include,No,
127756001,a1G8d00000240UXEAY,"21 Purkis Road, Waterlooville, PO7 3DW",Rent Review,2025-12-24,2026-03-24,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
127181001,a1G4J0000025xGHUAY,"16 Jerome Street Wellesley, Aldershot GU11 4A",Rent Review,2025-12-25,2026-03-25,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127764002,a1G8d00000240VQEAY,"1 Hugo Hse, Purkis Rd, Waterlooville, PO7 3DZ",Rent Review,2025-12-25,2026-04-25,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
110038004,a1G4J0000025v24UAA,"4, Newton House, Peasgood Lane, Waterlooville",Rent Review,2025-12-26,2026-03-26,Pending,MM2,Gr Lets,Flat PB,Tenanted,Include,No,
127229002,a1G4J0000025wtQUAQ,"Flat 2 Watermark Hse, Ledger Close, Kent ME10",Rent Review,2025-12-26,2026-03-26,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127348001,a1G4J0000025xBJUAY,"586 Marrelsmoor Avenue, Waterlooville, PO7 5G",Rent Review,2025-12-26,2026-04-26,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127601001,a1G4J0000025xN5UAI,"13 Dempsey Road, Wellesley, Aldershot, Hants,",Rent Review,2025-12-26,2026-03-26,Pending,MM2,Sh Owner,Mid Terrace,Tenanted,Include,No,
127799002,a1GNz0000002jNdMAI,"2 Heath Court, 1 Ford Place, GU11 4FL",Rent Review,2025-12-26,2026-04-26,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
103460001,a1G4J0000025tjEUAQ,"Appt 4, Mitford Building, 10 Dawes Rd. SW6",Rent Review,2025-12-27,2026-03-27,Pending,SR1,Assd.Per,Flat PB,Tenanted,Include,No,
127408008,a1G4J0000025wY1UAI,"8 Ensor Hse, 17 Corunna Ave, Wellesley, Hants",Rent Review,2025-12-27,2026-03-27,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127441001,a1G4J0000025xE9UAI,"32 Barrosa Road, Wellesley, Aldershot, Hants,",Rent Review,2025-12-27,2026-03-27,Pending,MM2,Sh Owner,Mid Terrace,Tenanted,Include,No,
127469001,a1G4J0000025x0MUAQ,"19 Birkbeck Close, Waterlooville, PO7 3DP",Rent Review,2025-12-27,2026-03-27,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127764004,a1G8d00000240VaEAI,"5 Hugo Hse, Purkis Rd, Waterlooville, PO7 3DZ",Rent Review,2025-12-27,2026-04-28,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127698003,a1G8d0000004j5bEAA,"3 Page House, Waterlooville, PO7 3DY",Rent Review,2025-12-28,2026-03-28,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127698004,a1G8d0000004j5vEAA,"4 Page House, Waterlooville, PO7 3DY",Rent Review,2025-12-28,2026-03-28,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127698007,a1G8d0000004j6AEAQ,"7 Page House, Waterlooville, PO7 3DY",Rent Review,2025-12-28,2026-03-28,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127698008,a1G8d0000004j6FEAQ,"8 Page House, Waterlooville, PO7 3DY",Rent Review,2025-12-28,2026-03-28,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127698009,a1G8d0000004j65EAA,"9 Page House, Waterlooville, PO7 3DY",Rent Review,2025-12-28,2026-03-28,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127758001,a1G8d00000240W4EAI,"17 Purkis Road, Waterlooville, PO7 3DW",Rent Review,2025-12-28,2026-03-28,Pending,AG3,Aff Rent,S/D House,Tenanted,Include,No,
127785007,a1GNz000000wIPaMAM,15 Warrilow Hse 12 St Sebastians Way GU11 4FP,Rent Review,2025-12-28,2026-03-28,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127865001,a1GNz000004TMSfMAO,"31 Mandora Road, GU11 4FQ",Rent Review,2025-12-28,2026-03-28,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
127874002,a1GNz000005JzMfMAK,"2 Cox House, 2 Bunbury Close, GU11 4GB.",Rent Review,2025-12-28,2026-03-28,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127229018,a1G4J0000025xH2UAI,"Flat18 Watermark Hse, Ledger Close, Kent ME10",Rent Review,2025-12-29,2026-03-29,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127229020,a1G4J0000025xLVUAY,"Flat20 Watermark Hse, Ledger Close, Kent ME10",Rent Review,2025-12-29,2026-03-29,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127698001,a1G8d0000004j5lEAA,"1 Page House, Waterlooville, PO7 3DY",Rent Review,2025-12-29,2026-03-29,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127465004,a1G4J0000025xTgUAI,"17 Painters Crescent, Waterlooville, PO7 3BZ",Rent Review,2025-12-30,2026-03-30,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127486001,a1G4J0000025xX4UAI,"38 Bazeley Road, Waterlooville, PO7 3BS",Rent Review,2025-12-30,2026-03-30,Pending,MM2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127506001,a1G4J0000025xCcUAI,"56 Albuhera Road, Wellesley, Aldershot GU11 4",Rent Review,2025-12-30,2026-04-30,Pending,MM2,Sh Owner,End Terrace,Tenanted,Include,No,
127611002,a1G4J0000025xTlUAI,"Flat 9 Cooper House, 2 McGrigor Mews, Aldersh",Rent Review,2025-12-30,2026-04-30,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127781001,a1GNz0000001TxdMAE,"42 Stanhope Mews, GU11 4FG",Rent Review,2025-12-30,2026-04-30,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
127787001,a1GNz0000002jDxMAI,"87 Newlands Avenue, Waterlooville, PO7 3EA",Rent Review,2025-12-30,2026-04-30,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
317666019,a1G4J0000025ym9UAA,"Flat 19, Croydon House, Wotton St, SE1 8TS",Rent Review,2025-12-30,2026-04-30,Pending,SW4,Assured,Flat PB,Tenanted,Include,No,
127449001,a1G4J0000025xLrUAI,"35 Bruneval Drive, Wellesley, Aldershot, Hant",Rent Review,2025-12-31,2026-03-31,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127502001,a1G4J0000025xalUAA,"10 Guthrie Way, Wellesley, Aldershot, GU11 4E",Rent Review,2025-12-31,2026-03-31,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127535018,a1G4J0000025xbiUAA,403 Aster Apts 822 Seven Sisters Rd London N1,Rent Review,2025-12-31,2026-03-31,Pending,AL4,DMR ,Flat PB,Tenanted,Include,No,
127611001,a1G4J0000025xaHUAQ,"Flat 1 Cooper House, 2 McGrigor Mews, Aldersh",Rent Review,2025-12-31,2026-03-31,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127040001,a1G4J0000025wxSUAQ,"33, Grainger Street, Waterlooville.  PO7 3AS",Rent Review,2026-01-01,2026-04-01,Pending,MM2,Gr Lets,S/D House,Tenanted,Include,No,
127508001,a1G4J0000025xazUAA,"52 Albuhera Road, Wellesley, Aldershot GU11 4",Rent Review,2026-01-01,2026-05-01,Pending,MM2,Aff Rent,End Terrace,Tenanted,Include,No,
127509001,a1G4J0000025xb4UAA,"50 Albuhera Road, Wellesley, Aldershot GU11 4",Rent Review,2026-01-01,2026-05-01,Pending,MM2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127527001,a1G4J0000025xN3UAI,"35 Dempsey Road, Wellesley, Aldershot GU11 4D",Rent Review,2026-01-01,2026-05-01,Pending,MM2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127528001,a1G4J0000025xP7UAI,"33 Dempsey Road, Wellesley, Aldershot GU11 4D",Rent Review,2026-01-01,2026-05-01,Pending,MM2,Aff Rent,End Terrace,Tenanted,Include,No,
127603001,a1G4J0000025xcJUAQ,"17 Dempsey Road, Wellesley, Aldershot, Hants,",Rent Review,2026-01-01,2026-04-01,Pending,GW2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127621001,a1G4J000004jubmUAA,"4 Guthrie Way, Wellesley, Hampshire, GU11 4EL",Rent Review,2026-01-01,2026-04-01,Pending,GW2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127698002,a1G8d0000004j5gEAA,"2 Page House, Waterlooville, PO7 3DY",Rent Review,2026-01-01,2026-04-01,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127698006,a1G8d0000004j5qEAA,"6 Page House, Waterlooville, PO7 3DY",Rent Review,2026-01-01,2026-04-01,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
317552001,a1G4J00000262yYUAQ,"16 Ufford Street, London, SE1 8QD",Rent Review,2026-01-01,2026-05-01,Pending,SW4,Assd.Per,S/D House,Tenanted,Include,No,
317912001,a1G4J0000025z8FUAQ,"71, Foxhole Road, Paignton, Devon",Rent Review,2026-01-01,2026-05-01,Pending,RTX,Assd PHA,Mid Terrace,Tenanted,Include,No,
127483061,a1G4J0000025xYAUAY,"61 Poppy Apartments, E16 2YH",Rent Review,2026-01-02,2026-05-02,Pending,MM2,DMR ,Flat PB,Tenanted,Include,No,
127322001,a1G4J0000025x7pUAA,"21 Bazeley Road, Waterlooville, PO7 3BS",Rent Review,2026-01-03,2026-05-03,Pending,MM2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127323001,a1G4J0000025xOPUAY,"19 Bazeley Road, Waterlooville, PO7 3BS",Rent Review,2026-01-03,2026-05-03,Pending,MM2,Aff Rent,End Terrace,Tenanted,Include,No,
127823001,a1GNz000000i57GMAQ,"37 Hursley Road, Waterlooville, PO7 3EN",Rent Review,2026-01-03,2026-05-03,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
127119001,a1G4J0000025x5BUAQ,"7 Hatt Street Wellesley, Aldershot GU11 4AQ",Rent Review,2026-01-04,2026-04-04,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127175001,a1G4J0000025xHnUAI,"19 Jerome Street Wellesley, Aldershot GU11 4A",Rent Review,2026-01-04,2026-04-04,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127131003,a1G4J0000025x28UAA,"3 Josephson House, Acland Street, Wellesley",Rent Review,2026-01-05,2026-05-05,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127131012,a1G4J0000025wdRUAQ,"12 Josephson House, Acland Street, Wellesley",Rent Review,2026-01-05,2026-05-05,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127132001,a1G4J0000025wcDUAQ,"17 Acland Street Wellesley, Aldershot GU11 4A",Rent Review,2026-01-05,2026-05-05,Pending,SO3,Aff Rent,S/D House,Tenanted,Include,No,
127768001,a1G8d000002PZ0bEAG,"10 Nicholson Way, Waterlooville, PO7 3DN",Rent Review,2026-01-05,2026-05-05,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
127107010,a1G4J0000025xDMUAY,"10, Sassoon Place, Waterlooville, Hampshire",Rent Review,2026-01-06,2026-04-06,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127611003,a1G4J0000025xdeUAA,"Flat 10 Cooper House, 2 McGrigor Mews, Alders",Rent Review,2026-01-06,2026-05-06,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127250001,a1G4J0000025xLpUAI,"25 Beatty Gardens, Waterlooville, Hampshire",Rent Review,2026-01-07,2026-04-07,Active,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127257004,a1G4J0000025xLbUAI,"5 Newcome Hse, Wellesley, Aldershot, GU11 4BG",Rent Review,2026-01-08,2026-04-08,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127283011,a1G4J0000025wmeUAA,"11 Alexander House, 12 Fraser Road, Wellesley",Rent Review,2026-01-08,2026-01-08,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127799004,a1GNz0000002jSTMAY,"4 Heath Court , 1 Ford Place, GU11 4FL",Rent Review,2026-01-08,2026-05-08,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127330001,a1G4J0000025xPmUAI,"7 Market Garden, Aldershot, GU11 4BP",Rent Review,2026-01-10,2026-01-10,Pending,SO3,Aff Rent,End Terrace,Tenanted,Include,No,
127213001,a1G4J0000025wu2UAA,"12 Nash Close, Waterlooville, Hampshire, PO7",Rent Review,2026-01-11,2026-04-11,Active,MM2,Aff Rent,End Terrace,Tenanted,Include,No,
127229004,a1G4J0000025xEmUAI,"Flat 4 Watermark Hse, Ledger Close, Kent ME10",Rent Review,2026-01-11,2026-04-11,Pending,AG3,Aff Rent,Flat PB,Tenanted,Include,No,
127586008,a1G4J0000025x2XUAQ,"2 Inglis Hse, Charteris Cl, Hants, GU11 4DY",Rent Review,2026-01-11,2026-04-11,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127133001,a1G4J0000025xAnUAI,"15 Acland Street Wellesley, Aldershot GU11 4A",Rent Review,2026-01-12,2026-05-12,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127131010,a1G4J0000025wuSUAQ,"10 Josephson House, Acland Street, Wellesley",Rent Review,2026-01-13,2026-04-13,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127590001,a1G4J0000025xUOUAY,"14 Dempsey Road, Wellesley, Aldershot GU11 4D",Rent Review,2026-01-13,2027-01-13,Pending,SO3,Aff Rent,S/D House,Tenanted,Include,No,
127063001,a1G4J0000025uxZUAQ,"2, Oswald Street, Aldershot, GU11 4AP",Rent Review,2026-01-14,2026-05-14,Pending,MM2,Aff Rent,Det House,Tenanted,Include,No,
127064001,a1G4J0000025x2CUAQ,"4, Oswald Street, Aldershot, GU11  4AP",Rent Review,2026-01-14,2026-05-14,Pending,SO3,Aff Rent,Det House,Tenanted,Include,No,
127483008,a1G4J0000025xGEUAY,"8 Poppy Apartments, E16 2YH",Rent Review,2026-01-14,2026-04-14,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127560001,a1G4J0000025x5WUAQ,"6 Fire Station Road, Wellesley, Aldershot GU1",Rent Review,2026-01-14,2026-04-14,Active,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127465001,a1G4J0000025xP9UAI,"14 Painters Crescent, Waterlooville, PO7 3BZ",Rent Review,2026-01-15,2026-05-15,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127510001,a1G4J0000025xagUAA,"1 Charteris Close, Wellesley, Aldershot GU11",Rent Review,2026-01-15,2026-05-15,Pending,MM2,Aff Rent,End Terrace,Tenanted,Include,No,
127514001,a1G4J0000025xX5UAI,"48 Albuhera Road, Wellesley, Aldershot GU11 4",Rent Review,2026-01-15,2026-05-15,Pending,MM2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127799005,a1GNz0000002jVhMAI,"5 Heath Court , 1 Ford Place, GU11 4FL",Rent Review,2026-01-15,2026-05-15,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127812001,a1GNz000000i5K9MAI,"26 Murphy Ave, Aldershot, Hampshire, GU11 4FR",Rent Review,2026-01-15,2026-12-15,Active,AG3,Aff Rent,End Terrace,Tenanted,Include,No,
107341001,a1G4J0000025uhFUAQ,"Briar Heyes, 4 Dog Lane, Cheshire, CW6",Rent Review,2026-01-16,2026-05-16,Pending,MKP,Assd.Per,End Terrace,Solic.Instrct,Include,No,
127042001,a1G4J0000025xBBUAY,"41, Grainger Street, Waterlooville. PO7  3AS",Rent Review,2026-01-18,2026-01-18,Pending,SO3,Gr Lets,S/D House,Tenanted,Include,No,
127131008,a1G4J0000025wZoUAI,"8 Josephson House, Acland Street, Wellesley",Rent Review,2026-01-18,2026-04-18,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127287001,a1G4J0000025xMiUAI,"15 Market Garden, Aldershot, GU11 4BP",Rent Review,2026-01-18,2026-01-18,Pending,SO3,Aff Rent,End Terrace,Tenanted,Include,No,
127033006,a1G4J0000025x75UAA,"13 Cole House Stuart Lane, Aldershot GU11 4AD",Rent Review,2026-01-19,2026-05-19,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127351001,a1G4J0000025xCgUAI,"580 Marrelsmoor Avenue, Waterlooville, PO7 5G",Rent Review,2026-01-19,2026-04-19,Pending,SO3,Aff Rent,S/D House,Tenanted,Include,No,
127760001,a1G8d00000240UhEAI,"8 Stanhope Mews, Aldershot, Hampshire,  GU11",Rent Review,2026-01-19,2026-04-19,Pending,AG3,Aff Rent,S/D House,Tenanted,Include,No,
127764005,a1G8d00000240VfEAI,"4 Hugo Hse, Purkis Rd, Waterlooville, PO7 3DZ",Rent Review,2026-01-19,2026-05-19,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
110038005,a1G4J0000025uMIUAY,"5, Newton House, Peasgood Lane, Waterlooville",Rent Review,2026-01-20,2026-05-20,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127033003,a1G4J0000025wrDUAQ,"7 Cole House, Stuart Lane, Aldershot GU11 4AD",Rent Review,2026-01-20,2026-05-20,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
122045003,a1G4J0000025wp5UAA,"3, Great Plant House, Woods Sq, Waterlooville",Rent Review,2026-01-21,2026-05-21,Pending,SO3,Gr Lets,Flat PB,Tenanted,Include,No,
127041001,a1G4J0000025x2vUAA,"31, Grainger Street, Waterlooville. PO7  3AS",Rent Review,2026-01-22,2026-04-22,Pending,GW2,Gr Lets,S/D House,Tenanted,Include,No,
127827001,a1GNz000001fuvJMAQ,"45 Mandora Road, GU11 4FQ",Rent Review,2026-01-23,2026-04-23,Pending,AG3,Aff Rent,End Terrace,Tenanted,Include,No,
127829001,a1GNz000001fuwvMAA,"49 Mandora Road, GU11 4FQ",Rent Review,2026-01-23,2026-04-23,Pending,AG3,Aff Rent,Mid Terrace,Tenanted,Include,No,
127229016,a1G4J0000025xCqUAI,"Flat16 Watermark Hse, Ledger Close, Kent ME10",Rent Review,2026-01-24,2026-05-24,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127354001,a1G4J0000025xM6UAI,"587 Marrelsmoor Avenue, Waterlooville, PO7 5G",Rent Review,2026-01-24,2026-05-24,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127785002,a1GNz000000wIPZMA2,10 Warrilow Hse 12 St Sebastians Way GU11 4FP,Rent Review,2026-01-24,2026-05-24,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127785003,a1GNz000000wCP0MAM,11 Warrilow Hse 12 St Sebastians Way GU11 4FP,Rent Review,2026-01-24,2026-05-24,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127799007,a1GNz0000002jaXMAQ,"7 Heath Court , 1 Ford Place, GU11 4FL",Rent Review,2026-01-24,2026-05-24,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127826001,a1GNz000001futhMAA,"43 Mandora Road, GU11 4FQ",Rent Review,2026-01-25,2026-04-25,Pending,AG3,Aff Rent,Mid Terrace,Tenanted,Include,No,
127348001,a1G4J0000025xBJUAY,"586 Marrelsmoor Avenue, Waterlooville, PO7 5G",Rent Review,2026-01-26,2026-04-26,Pending,SO3,Aff Rent,S/D House,Tenanted,Include,No,
127764001,a1G8d00000240VLEAY,"2 Hugo Hse, Purkis Rd, Waterlooville, PO7 3DZ",Rent Review,2026-01-26,2026-05-26,Pending,AG3,Sh Owner,Flat PB,Tenanted,Include,No,
127830001,a1GNz000001fuyXMAQ,"51 Mandora Road, GU11 4FQ",Rent Review,2026-01-26,2026-04-26,Pending,AG3,Aff Rent,End Terrace,Tenanted,Include,No,
127033002,a1G4J0000025xB6UAI,"5 Cole House, Stuart Lane, Aldershot GU11 4AD",Rent Review,2026-01-27,2026-05-27,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127592001,a1G4J0000025xZmUAI,"18 Dempsey Road, Wellesley, Aldershot GU11 4D",Rent Review,2026-01-28,2026-05-28,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127107005,a1G4J0000025x5PUAQ,"5 Sassoon Place, Waterlooville, Hampshire, PO",Rent Review,2026-01-29,2026-04-29,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127107008,a1G4J0000025xD7UAI,"8 Sassoon Place, Waterlooville, Hampshire, PO",Rent Review,2026-01-29,2026-04-29,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127472001,a1G4J0000025xWYUAY,"11 Birkbeck Close, Waterlooville, PO7 3DP",Rent Review,2026-01-29,2026-05-29,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127497001,a1G4J0000025xVTUAY,"4 Moore Drive, Wellesley, Hampshire GU11 4AZ",Rent Review,2026-01-29,2026-05-29,Pending,MM2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127511001,a1G4J0000025xHPUAY,"42 Albuhera Road, Wellesley, Aldershot GU11 4",Rent Review,2026-01-29,2026-05-29,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127634004,a1G4J000004PtLjUAK,"104 Plant Farm Cres, Waterlooville, PO7 3DB",Rent Review,2026-01-29,2026-04-29,Pending,SO3,Aff Rent,Flat PB,Tenanted,Include,No,
127828001,a1GNz000001fus5MAA,"47 Mandora Road, GU11 4FQ",Rent Review,2026-01-29,2026-04-29,Pending,AG3,Aff Rent,End Terrace,Tenanted,Include,No,
127837001,a1GNz000001ygi9MAA,"9 Mullinger Close, Waterlooville, PO7 3EG",Rent Review,2026-01-29,2026-05-29,Pending,AG3,Sh Owner,End Terrace,Tenanted,Include,No,
127176001,a1G4J0000025woNUAQ,"21 Jerome Street Wellesley, Aldershot GU11 4A",Rent Review,2026-01-30,2026-04-30,Pending,GW2,Aff Rent,S/D House,Tenanted,Include,No,
127257003,a1G4J0000025xMYUAY,"4 Newcome Hse, Wellesley, Aldershot, GU11 4BG",Rent Review,2026-01-30,2026-04-30,Pending,GW2,Aff Rent,Flat PB,Tenanted,Include,No,
127609001,a1G4J0000025xd0UAA,"6 Guthrie Way, Wellesley, Aldershot GU11 4EL",Rent Review,2026-01-30,2026-04-30,Pending,GW2,Aff Rent,Mid Terrace,Tenanted,Include,No,
113947001,a1G4J00000262QMUAY,"35, Piedmont Road, Plumstead, London",Rent Review,2026-01-31,2026-05-31,Pending,SR1,Assd.Per,S/D House,For Sale,Include,No,
103150001,a1G4J0000025ta7UAA,"18, Henshaw Street, Walworth, London",Rent Review,2026-02-01,2026-05-01,Pending,SR1,Assd.Per,Mid Terrace,Tenanted,Include,No,
107404001,a1G4J0000025uivUAA,"New Hall Bung, Gincroft Ln, Bury. BL0 0QY",Rent Review,2026-02-01,2026-05-01,Pending,MKP,Assd.Per,DetBungalow,Contracts Xch,Include,No,
113656001,a1G4J0000025w5qUAA,"9, Mackay Road, Clapham, London",Rent Review,2026-02-01,2026-05-01,Pending,AOX,Assd.Per,Flat Conv.,Tenanted,Include,No,
122137001,a1G4J0000025wq8UAA,"80 Lisbon Avenue, Twickenham, TW2 5HN",Rent Review,2026-02-01,2026-06-01,Pending,SR1,Assd.Per,Mid Terrace,Tenanted,Include,No,
122663002,a1G4J0000025x8vUAA,"Flat A, 47 Friends Road, Croydon, CR0 1ED",Rent Review,2026-02-01,2026-05-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
122663003,a1G4J0000025wgkUAA,"Flat B, 47 Friends Road, Croydon, CR0 1ED",Rent Review,2026-02-01,2026-05-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
127229012,a1G4J0000025weaUAA,"Flat12 Watermark Hse, Ledger Close, Kent ME10",Rent Review,2026-02-01,2026-05-01,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127263001,a1G4J0000025xJVUAY,"56, Bazeley Road, Waterlooville, PO7 3BS",Rent Review,2026-02-01,2026-06-01,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127273001,a1G4J0000025x7WUAQ,"FFF, 94 Dahomey Road, SW16 6ND",Rent Review,2026-02-01,2026-05-01,Pending,SR1,Assd.Per,Flat PB,Tenanted,Include,No,
127280001,a1G4J0000025wCyUAI,"54 Pakenham Road, Waterlooville, PO7 3BY",Rent Review,2026-02-01,2026-06-01,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
317352008,a1G4J0000025yxxUAA,"Flat 8, Dibdin House, Maida Vale, W9 1QE",Rent Review,2026-02-01,2026-05-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317713001,a1G4J0000025wb9UAA,"68, Salop Road, Walthamstow, London",Rent Review,2026-02-01,2026-05-01,Pending,SR1,Assd.Per,S/D House,Tenanted,Include,No,
317854001,a1G4J0000025xT4UAI,"1, Spencer Road, Paignton, Devon",Rent Review,2026-02-01,2026-05-01,Pending,RTX,Assd PHA,S/D House,Tenanted,Include,No,
317861001,a1G4J0000025ySjUAI,"16, Spencer Road, Paignton, Devon",Rent Review,2026-02-01,2026-05-01,Pending,RTX,Assd PHA,S/D House,Tenanted,Include,No,
317862001,a1G4J0000025z55UAA,"17, Spencer Road, Paignton, Devon",Rent Review,2026-02-01,2026-05-01,Pending,RTX,Assd PHA,Mid Terrace,Tenanted,Include,No,
317872001,a1G4J0000025yhkUAA,"36, Spencer Road, Paignton, Devon",Rent Review,2026-02-01,2026-05-01,Pending,RTX,Assd PHA,S/D House,Tenanted,Include,No,
317876001,a1G4J0000025z6DUAQ,"43, Spencer Road, Paignton, Devon",Rent Review,2026-02-01,2026-05-01,Pending,RTX,Assd PHA,S/D House,Tenanted,Include,No,
317894001,a1G4J0000025xpYUAQ,"67, Spencer Road, Paignton, Devon",Rent Review,2026-02-01,2026-05-01,Pending,RTX,Assd PHA,S/D House,Tenanted,Include,No,
317897001,a1G4J0000025xetUAA,"71, Spencer Road, Paignton, Devon",Rent Review,2026-02-01,2026-05-01,Pending,RTX,Assd PHA,S/D House,Tenanted,Include,No,
